name,downloads
zope-component,3813
azure-mgmt-network,3809
sqlalchemy-utils,3805
certbot-nginx,3796
gspread,3794
tldextract,3793
zope-event,3790
azure-mgmt-nspkg,3774
voluptuous,3757
pypandoc,3754
macholib,3736
ruamel-ordereddict,3733
numexpr,3717
gcmapexplorer,3712
filechunkio,3710
mozia-modules,3707
flower,3693
croniter,3682
grpc-google-logging-v2,3659
proto-google-cloud-error-reporting-v1beta1,3655
grpc-google-pubsub-v1,3653
pipenv,3652
logbook,3641
distribute,3640
fastavro,3636
pulp,3633
python-swiftclient,3626
gapic-google-cloud-error-reporting-v1beta1,3592
checklinks,3589
itypes,3579
django-appconf,3566
jira,3557
azure,3553
python-augeas,3553
sortedcontainers,3553
argus-toolbelt,3547
hypothesis,3520
azure-servicebus,3511
blessed,3507
twilio,3467
awsebcli,3460
gax-google-pubsub-v1,3460
certbot-apache,3457
humanize,3448
pytest-forked,3444
cement,3428
gax-google-logging-v2,3422
pyinotify,3421
appnope,3412
easyprocess,3389
cobra,3373
coreschema,3372
parse-type,3354
jpype1,3352
pymssql,3350
letsencrypt,3346
pygithub,3316
sqlalchemy-migrate,3298
dj-database-url,3277
mkdocs-ponylang,3269
waspy,3261
filelock,3249
bokeh,3238
sasl,3234
sendgrid,3230
googleads,3226
pyhive,3224
zc-buildout,3222
proto-google-cloud-datastore-v1,3205
django-redis,3201
apscheduler,3197
luigi,3167
scp,3166
zope-deprecation,3159
responses,3147
dedupe,3145
scrypt,3144
sickrage,3142
google-cloud-happybase,3126
beautifulsoup,3123
azure-mgmt-monitor,3066
whitenoise,3061
watchtower,3056
hponeview,3054
slacker,3054
reportlab,3052
django-rest-swagger,3042
nameparser,3031
pyglet,3027
requesocks,3020
jsondiff,3012
pytest-timeout,3011
python-consul,3010
pytest-html,3008
cx-oracle,2995
feedparser,2992
pysftp,2990
cssutils,2990
python-neutronclient,2980
routes,2974
azure-mgmt-trafficmanager,2966
python-dotenv,2962
azure-servicemanagement-legacy,2960
kmpc,2954
edx-enterprise,2946
metrology,2929
jellyfish,2927
pew,2918
astrolabe,2912
testrepository,2907
tempita,2905
pyrsistent,2901
azure-mgmt,2893
oslo-db,2886
pythonwhois,2880
paho-mqtt,2880
atomic,2876
thrift-sasl,2864
flask-cache,2851
pendulum,2842
mypy,2839
futurist,2832
python-json-logger,2818
django-nose,2814
typed-ast,2808
datetime,2805
ganglia,2800
nose2,2799
cherrypy,2794
oslo-messaging,2793
pycountry,2774
unittest-xml-reporting,2765
volkswagencarnet,2762
mrjob,2761
pmagpy-cli,2731
prometheus-client,2729
kubernetes,2721
